id_user,asistencia_webinars,clicks_bolsa_trabajo,situacion_laboral,clicks_marketing,profesion,recencia_interaccion,cliente_antiguo,ubicacion_region,tipo_entidad_interes,estado_postulacion_historica,compro_curso
HIST-0,3,8,sector_privado,media,Administrador,22,0,Callao,Municipalidades,Postulante frecuente,1
HIST-1,5,0,independiente,nula,Ingeniero,0,0,Lima,Organismos Autónomos,Otro,1
HIST-2,2,8,independiente,nula,Ingeniero,10,1,Lima,Municipalidades,Otro,0
HIST-3,3,3,independiente,nula,Abogado,61,0,Lima,Organismos Autónomos,Otro,0
HIST-4,9,5,sector_privado,media,Administrador,94,0,Lima,Gobierno Regional,Solo visualizador,0
HIST-5,6,1,independiente,nula,Arquitecto,11,0,Cusco,Otro,Finalista/Seleccionado,1
HIST-6,8,16,sector_privado,alta,Abogado,41,1,Callao,Otro,Solo visualizador,1
HIST-7,2,20,sector_publico,media,Arquitecto,4,1,Lima,Municipalidades,Solo visualizador,1
HIST-8,5,17,sector_privado,media,Abogado,170,0,Cusco,Ministerios/Poder Ejecutivo,Otro,0
HIST-9,3,4,sector_publico,alta,Abogado,146,1,Otro,Gobierno Regional,Otro,1
HIST-10,0,20,sector_privado,nula,Arquitecto,65,1,Otro,Organismos Autónomos,Otro,0
HIST-11,8,4,sector_publico,media,Otro,131,0,Cusco,Organismos Autónomos,Postulante frecuente,1
HIST-12,6,18,independiente,nula,Economista,99,1,Otro,Municipalidades,Otro,1
HIST-13,2,5,sector_privado,media,Ingeniero,28,1,Callao,Organismos Autónomos,Solo visualizador,0
HIST-14,0,20,independiente,nula,Contador,13,0,Otro,Organismos Autónomos,Solo visualizador,0
HIST-15,9,15,independiente,alta,Otro,54,1,Piura,Gobierno Regional,Solo visualizador,1
HIST-16,5,18,independiente,alta,Arquitecto,167,1,Cusco,Ministerios/Poder Ejecutivo,Otro,1
HIST-17,4,10,independiente,nula,Administrador,176,0,Cusco,Organismos Autónomos,Otro,0
HIST-18,5,18,sector_publico,alta,Economista,78,0,Lima,Municipalidades,Finalista/Seleccionado,1
HIST-19,4,15,sector_publico,media,Economista,165,1,Lima,Organismos Autónomos,Solo visualizador,1
HIST-20,3,18,sector_publico,nula,Medico,71,1,Cusco,Gobierno Regional,Finalista/Seleccionado,1
HIST-21,2,7,sector_privado,alta,Arquitecto,161,1,Piura,Gobierno Regional,Otro,0
HIST-22,9,16,sector_privado,media,Otro,136,0,Arequipa,Municipalidades,Finalista/Seleccionado,0
HIST-23,0,7,independiente,media,Administrador,29,1,Callao,Ministerios/Poder Ejecutivo,Solo visualizador,0
HIST-24,8,6,sector_privado,alta,Otro,86,1,Callao,Organismos Autónomos,Otro,1
HIST-25,8,2,sector_publico,alta,Otro,115,0,Lima,Organismos Autónomos,Solo visualizador,0
HIST-26,10,19,sector_publico,nula,Profesor,70,0,Otro,Otro,Otro,1
HIST-27,8,9,sector_privado,alta,Administrador,5,1,Arequipa,Municipalidades,Otro,1
HIST-28,7,19,sector_publico,alta,Administrador,45,1,Arequipa,Otro,Postulante frecuente,1
HIST-29,2,13,sector_privado,nula,Otro,12,1,Lima,Gobierno Regional,Postulante frecuente,1
HIST-30,6,7,independiente,alta,Profesor,115,0,Arequipa,Ministerios/Poder Ejecutivo,Solo visualizador,0
HIST-31,8,17,independiente,nula,Abogado,161,1,Otro,Otro,Postulante frecuente,1
HIST-32,3,12,independiente,alta,Otro,131,0,Lima,Organismos Autónomos,Otro,0
HIST-33,9,20,sector_publico,alta,Profesor,15,0,Callao,Organismos Autónomos,Solo visualizador,0
HIST-34,0,10,sector_privado,media,Abogado,115,1,Arequipa,Gobierno Regional,Solo visualizador,0
HIST-35,3,20,sector_publico,nula,Abogado,56,1,Piura,Ministerios/Poder Ejecutivo,Finalista/Seleccionado,1
HIST-36,9,19,sector_privado,nula,Arquitecto,91,1,Arequipa,Organismos Autónomos,Postulante frecuente,1
HIST-37,6,16,sector_privado,alta,Administrador,48,0,Callao,Organismos Autónomos,Solo visualizador,0
HIST-38,8,13,sector_publico,alta,Medico,136,0,Piura,Organismos Autónomos,Finalista/Seleccionado,0
HIST-39,5,12,sector_privado,alta,Medico,117,1,Callao,Ministerios/Poder Ejecutivo,Postulante frecuente,1
HIST-40,4,9,sector_publico,media,Economista,144,1,Lima,Otro,Solo visualizador,1
HIST-41,10,12,independiente,media,Contador,79,0,Arequipa,Gobierno Regional,Postulante frecuente,0
HIST-42,6,3,sector_publico,nula,Arquitecto,100,0,Cusco,Organismos Autónomos,Otro,0
HIST-43,4,12,sector_privado,media,Profesor,114,0,Lima,Ministerios/Poder Ejecutivo,Finalista/Seleccionado,0
HIST-44,5,15,sector_privado,media,Medico,55,1,Otro,Organismos Autónomos,Postulante frecuente,1
HIST-45,9,6,sector_publico,nula,Economista,16,0,Otro,Otro,Solo visualizador,1
HIST-46,3,16,sector_publico,alta,Ingeniero,75,1,Callao,Gobierno Regional,Solo visualizador,1
HIST-47,0,1,sector_privado,nula,Otro,124,0,Cusco,Ministerios/Poder Ejecutivo,Otro,0
HIST-48,9,4,sector_privado,nula,Medico,163,1,Cusco,Otro,Postulante frecuente,1
HIST-49,8,2,sector_privado,alta,Abogado,47,0,Otro,Otro,Finalista/Seleccionado,0
HIST-50,5,20,independiente,media,Economista,88,1,Cusco,Organismos Autónomos,Finalista/Seleccionado,1
HIST-51,8,5,independiente,alta,Profesor,145,1,Piura,Otro,Postulante frecuente,1
HIST-52,10,4,independiente,media,Economista,37,0,Piura,Otro,Solo visualizador,0
HIST-53,0,1,independiente,alta,Otro,54,1,Otro,Organismos Autónomos,Postulante frecuente,0
HIST-54,8,17,independiente,media,Arquitecto,157,1,Piura,Gobierno Regional,Postulante frecuente,1
HIST-55,8,17,sector_publico,nula,Abogado,162,1,Lima,Municipalidades,Finalista/Seleccionado,1
HIST-56,8,2,independiente,nula,Abogado,29,0,Otro,Organismos Autónomos,Postulante frecuente,0
HIST-57,7,18,independiente,alta,Otro,77,1,Callao,Gobierno Regional,Finalista/Seleccionado,1
HIST-58,6,4,independiente,nula,Ingeniero,11,0,Callao,Ministerios/Poder Ejecutivo,Postulante frecuente,1
HIST-59,2,19,sector_privado,nula,Abogado,26,1,Callao,Organismos Autónomos,Finalista/Seleccionado,0
HIST-60,0,10,sector_privado,alta,Contador,39,0,Arequipa,Otro,Postulante frecuente,0
HIST-61,6,0,independiente,nula,Economista,95,1,Lima,Ministerios/Poder Ejecutivo,Otro,0
HIST-62,10,9,sector_privado,nula,Profesor,110,0,Otro,Otro,Otro,0
HIST-63,2,15,sector_privado,media,Contador,9,0,Arequipa,Otro,Postulante frecuente,0
HIST-64,2,9,sector_privado,media,Arquitecto,161,0,Lima,Ministerios/Poder Ejecutivo,Solo visualizador,0
HIST-65,4,6,sector_publico,media,Medico,59,0,Callao,Municipalidades,Solo visualizador,0
HIST-66,6,18,sector_privado,alta,Medico,1,0,Lima,Organismos Autónomos,Otro,1
HIST-67,9,10,sector_publico,alta,Ingeniero,114,0,Arequipa,Gobierno Regional,Solo visualizador,1
HIST-68,2,0,sector_publico,alta,Abogado,104,0,Otro,Otro,Finalista/Seleccionado,0
HIST-69,7,9,independiente,alta,Profesor,48,0,Otro,Municipalidades,Postulante frecuente,0
HIST-70,6,17,sector_publico,nula,Abogado,152,0,Piura,Municipalidades,Otro,1
HIST-71,9,8,independiente,alta,Otro,127,1,Cusco,Otro,Solo visualizador,1
HIST-72,8,15,independiente,alta,Profesor,85,1,Otro,Ministerios/Poder Ejecutivo,Otro,1
HIST-73,7,16,sector_privado,alta,Profesor,109,1,Lima,Gobierno Regional,Postulante frecuente,1
HIST-74,6,2,sector_privado,media,Arquitecto,43,0,Callao,Gobierno Regional,Solo visualizador,0
HIST-75,8,2,independiente,alta,Ingeniero,18,0,Lima,Ministerios/Poder Ejecutivo,Otro,0
HIST-76,3,8,sector_publico,media,Abogado,115,1,Lima,Municipalidades,Postulante frecuente,1
HIST-77,4,8,independiente,media,Medico,72,0,Lima,Gobierno Regional,Finalista/Seleccionado,0
HIST-78,3,1,independiente,nula,Otro,60,1,Callao,Organismos Autónomos,Postulante frecuente,1
HIST-79,4,8,sector_privado,media,Otro,130,0,Piura,Gobierno Regional,Finalista/Seleccionado,0
HIST-80,7,20,sector_privado,nula,Abogado,67,0,Lima,Gobierno Regional,Solo visualizador,0
HIST-81,6,16,sector_publico,alta,Economista,116,0,Arequipa,Gobierno Regional,Otro,1
HIST-82,8,13,sector_privado,media,Economista,72,1,Otro,Organismos Autónomos,Solo visualizador,1
HIST-83,9,5,sector_publico,nula,Otro,76,1,Cusco,Gobierno Regional,Solo visualizador,1
HIST-84,0,2,independiente,nula,Ingeniero,97,1,Callao,Otro,Postulante frecuente,0
HIST-85,6,14,sector_publico,nula,Medico,25,0,Piura,Otro,Postulante frecuente,1
HIST-86,2,9,sector_publico,nula,Ingeniero,43,0,Arequipa,Otro,Solo visualizador,0
HIST-87,4,20,sector_publico,media,Profesor,137,1,Lima,Gobierno Regional,Finalista/Seleccionado,1
HIST-88,2,6,sector_publico,alta,Otro,173,0,Otro,Municipalidades,Otro,0
HIST-89,5,10,sector_publico,media,Ingeniero,106,0,Cusco,Ministerios/Poder Ejecutivo,Otro,1
HIST-90,4,12,independiente,alta,Abogado,49,0,Cusco,Municipalidades,Finalista/Seleccionado,1
HIST-91,0,14,independiente,nula,Medico,42,0,Piura,Ministerios/Poder Ejecutivo,Solo visualizador,0
HIST-92,10,11,independiente,alta,Economista,174,0,Lima,Ministerios/Poder Ejecutivo,Otro,0
HIST-93,4,10,sector_publico,media,Administrador,56,1,Callao,Gobierno Regional,Solo visualizador,1
HIST-94,1,18,sector_publico,media,Ingeniero,106,1,Arequipa,Gobierno Regional,Postulante frecuente,1
HIST-95,6,2,independiente,alta,Economista,135,1,Cusco,Gobierno Regional,Otro,0
HIST-96,7,2,sector_privado,alta,Ingeniero,51,0,Lima,Gobierno Regional,Postulante frecuente,0
HIST-97,2,5,sector_privado,media,Abogado,109,0,Otro,Municipalidades,Solo visualizador,0
HIST-98,7,12,sector_publico,alta,Abogado,128,1,Callao,Gobierno Regional,Solo visualizador,1
HIST-99,8,13,sector_publico,alta,Ingeniero,180,0,Cusco,Ministerios/Poder Ejecutivo,Postulante frecuente,1
HIST-100,3,15,sector_publico,nula,Ingeniero,47,0,Callao,Municipalidades,Otro,1
HIST-101,6,8,sector_publico,alta,Contador,71,1,Cusco,Organismos Autónomos,Postulante frecuente,1
HIST-102,5,13,sector_privado,alta,Abogado,96,0,Lima,Otro,Otro,1
HIST-103,5,6,sector_privado,alta,Administrador,81,0,Otro,Gobierno Regional,Finalista/Seleccionado,0
HIST-104,2,20,sector_publico,nula,Medico,142,1,Otro,Ministerios/Poder Ejecutivo,Otro,0
HIST-105,6,6,sector_publico,nula,Administrador,54,1,Piura,Gobierno Regional,Postulante frecuente,1
HIST-106,6,13,sector_publico,media,Administrador,133,1,Callao,Municipalidades,Otro,1
HIST-107,2,1,independiente,nula,Ingeniero,20,1,Otro,Ministerios/Poder Ejecutivo,Solo visualizador,0
HIST-108,0,12,sector_publico,alta,Contador,52,1,Otro,Otro,Finalista/Seleccionado,0
HIST-109,10,12,sector_publico,media,Contador,146,1,Lima,Organismos Autónomos,Solo visualizador,1
HIST-110,1,20,independiente,media,Economista,135,1,Otro,Municipalidades,Solo visualizador,0
HIST-111,9,6,sector_privado,nula,Profesor,120,0,Cusco,Organismos Autónomos,Otro,0
HIST-112,3,13,independiente,alta,Ingeniero,163,0,Piura,Ministerios/Poder Ejecutivo,Otro,1
HIST-113,2,5,independiente,media,Otro,71,1,Otro,Municipalidades,Postulante frecuente,0
HIST-114,8,12,independiente,media,Contador,93,1,Arequipa,Ministerios/Poder Ejecutivo,Solo visualizador,1
HIST-115,3,15,sector_publico,media,Profesor,75,1,Cusco,Organismos Autónomos,Otro,1
HIST-116,6,6,sector_privado,nula,Contador,57,1,Lima,Gobierno Regional,Postulante frecuente,1
HIST-117,1,12,sector_privado,media,Administrador,69,1,Arequipa,Municipalidades,Postulante frecuente,1
HIST-118,6,15,independiente,nula,Abogado,118,1,Callao,Ministerios/Poder Ejecutivo,Solo visualizador,1
HIST-119,1,17,sector_privado,nula,Economista,112,1,Piura,Gobierno Regional,Solo visualizador,0
HIST-120,7,5,independiente,alta,Ingeniero,42,0,Callao,Municipalidades,Postulante frecuente,0
HIST-121,5,7,independiente,media,Abogado,43,0,Callao,Organismos Autónomos,Otro,0
HIST-122,1,3,independiente,media,Contador,162,0,Otro,Organismos Autónomos,Solo visualizador,0
HIST-123,1,19,sector_privado,media,Contador,18,0,Otro,Otro,Finalista/Seleccionado,0
HIST-124,0,7,sector_privado,nula,Administrador,96,1,Piura,Ministerios/Poder Ejecutivo,Otro,0
HIST-125,4,6,sector_publico,nula,Administrador,10,1,Piura,Organismos Autónomos,Finalista/Seleccionado,1
HIST-126,3,14,sector_privado,media,Abogado,33,0,Arequipa,Municipalidades,Solo visualizador,0
HIST-127,2,8,sector_privado,media,Economista,142,0,Piura,Gobierno Regional,Otro,0
HIST-128,0,8,sector_privado,nula,Ingeniero,93,0,Cusco,Ministerios/Poder Ejecutivo,Finalista/Seleccionado,0
HIST-129,1,18,sector_publico,nula,Abogado,141,1,Callao,Municipalidades,Solo visualizador,0
HIST-130,0,2,sector_publico,alta,Medico,145,0,Lima,Ministerios/Poder Ejecutivo,Otro,0
HIST-131,3,14,sector_privado,nula,Ingeniero,64,0,Callao,Gobierno Regional,Finalista/Seleccionado,0
